서명,저자,출판사,출판년
생명의 노래1,우한용,푸른사상,2001
왕초보 사주학. 연구편,박주현 저,동학사,2003
유아교육학 탐구,양옥승 외[공]저,학지사,2002
그리스 비극의 이해,천병희 지음,문예풀판사,2002
"그 남자의 재즈일기. 2, 재즈 초짜, '나만의 명반'에 취하다",황덕호 지음,돋을새김,2002
중얼거리다. 1,정영문 지음,이마고,2002
결혼은 결혼이다 : 위트와 유머가 넘치는 솔직한 프로프즈,우애령 저,하늘재,2003
푸틴자서전,"N.게보르칸 ; N,티마코바 ; A.콜레스니코프 공편 ; 표윤경 옮김",문학사상사,2003
춤에 부치는 노래,박정애,문학사상사,2002
꽃그늘 아래,이혜경,창작과 비평사,2002
"겨레말, 외나무 다리에 서다",박용수,두리미디어,2001
열린마음 푸른 마음,전덕기,신지성사,2000
지방분권 정책대안,김형기,한올 아카데미,2002
"전쟁과 학살, 부끄러운 미국",홍윤서 지음.,월간말,2003
우리 민요의 세계,서영숙,역락,2002
현대철학의 이해,이서규 지음.,건국대학교 출판부,2003
불교가사 독해사전,임기중,이회,2002
21세기 러시아 정치와 국가전략,홍완석,일신사,2001
예술과 과학,엘리안 스트로스베르 지음 김승윤 옮김,을유문화사,2002
꽃의 제국,강혜순,다른세상,2002
원효,고영섭,예문서원,2002
합리성의 새로운 지평,존 써얼 지음 김기현 외 옮김,철학과 현실사,2001
씰크로드학,정수일 지음,창작과비평사,2001
노장철학,정세근,철학과 현실사,2002
혜초 스님 저희 왔어요,노정렬,다락원,1998
천복화 무당 내력,신명기 지음,민속원,2001
한국 민간신앙의 실체와 전승,김종대,민속원,1999
속리산의 민속과 축제,김영진 ; 임동철 ; 이창식 지음,민속원,1999
분단의 내일 통일의 역사,도진순,당대,2002
"(위대한)교육사상가들 . 3 : 괴테, 쉴러, 페스탈로찌, 헤르바르트, 슐라이에르마히, 훔볼트, 피히테, 헤겔",연세대학교 교육철학연구회 편,교육과학사,1999
"(위대한)교육사상가들 . 4 : 케에르케고어, 니체, 프뢰벨, 장폴, 헤르바르트학파, 마르크스, 뒤르케일, 프로이드, 딜타이, 듀이",연세대학교 교육철학연구회 편,교육과학사,2000
대전100년사. 4,대전광역시사편찬위원회 편,대전광역시사편찬위원회,2002
"서양음악사 100장면(2), 게몽주의 음악에서 현대음악까지",김용환 지음,가람기획,2002
"천손의 나라(상). 1, 7인의 결의",정호일 지음,우리겨레,2001
"천손의 나라(중). 2, 도전과 응전",정호일 지음,우리겨레,2001
"천손의 나라(하). 3, 단군족은 하나",정호일 지음,우리겨레,2001
복사꽃 그자리,김하기 저,문학동네,2002
우리 아기가 읽기를 시작했어요,명지원 ; 김현수 엮음,민지사,2003
21세기 유엔과 한국,박수길 편,도서출판 오름,2002
농촌지역 복지연구의 실제,김대원 지음,북스테이션,2002
사회복지정책 분석론,신원식 저,삼우사,2003
(포커스 인)포트 폴리오,강숙현 지음,교육과학사,2002
학교 컨설팅,진동섭 지음,학지사,2002
우주,그레이엄 아이언 지음 ; 이충호 옮김,두산동아,2001
국세청 사람들,김종상 지음,매일경제신문사,2001
밥상 위의 안부,이중기,창작과비평사,2001
1970년의 죽음,이호철,새미,2001
국어국문학사전 하권. 2,이응백 ; 김원향 ; 김선풍 감수,한국사전연구사,2001
압록강,김탁환 지음,열음사,2001
압록강,김탁환 지음,열음사,2001
압록강,김탁환 지음,열음사,2001
나는 지난 여름 네가 그 땅에서 한 일을...,한국소설가협회,개미,2001
노박씨이야기,슈테판 슬루페츠키 지음 ; 조원규 옮김,문학동네,2001
신세대를 위한 예절 길라잡이,임혜경 지음,호미,2001
衡平과正義,大邱地方辯護史會,새한정밀인쇄(출판부),2001
한국의 전통예술,심우성 외 4명,한국문화재보호재단,1997
33가지 동물로 본 우리문화의 상징세계,김종대,다른세상,2001
구아바,"Desai,Kiran",이레,2001
구원이란 무엇인가,김세윤,두란노,2001
가정상담학의 이해,류종훈 저,청목출판사,2001
한국의 보부상,이창식 지음,밀알,2001
여자이기 때문에 당하지 말고 당차게 살아라, ,푸른솔,2001
논리란?,김득순,새날,2001
두번째 첫사랑,채윤하,다우,2001
서예의 이해,"조수현,김연희,이정한,이규복 공저",이화문화출판사,2001
"목조각장. 108;,. 중요무형문화재",최공호 글 ; 이갑철 사진,화산문화,2001
"화각장. 제109호, 중요무형문화재",곽대웅 글 ; 황동남사진,화산문화,2001
내 영화의 주인공,하성란,작가정신,2001
우리는 만난 적이 있다,조경란,문학과지성사,2001
달콤한 인생,최인호,문학동네,2001
23장에 담진 인간의 자서전 게놈,리들리 매트 지음 ; 하영미 외 옮김,김영사,2001
기적을 찾아서. Ⅰ,오쇼 라즈니쉬 지음 : 손민규 옮김,계몽사,1998
생활과화학,생활과 화학 교재편찬위원회,자유아카데미,2000
구슬 : 나만의 아름다운 시작,홍익출판부 편집부 편,홍익출판부,2002
로마제국의 노예와 주인,"Bradley, K. R",신서원,2001
한국복식문화2000년,전통을이어가는사람들1,정규오,2001
기적을 찾아서. Ⅱ,오쇼 라즈니쉬 지음 : 손민규 옮김,계몽사,1998
깨달음으로 가는 일곱단계,오쇼 라즈니쉬 지음 : 반근대 옮김,황금꽃,1998
성격과행동,이현수 지음,학지사,2001
암벽등반,정승권 감수,삼호미디어,2001
우주를 즐기는 지름길,박석재 지음,천문우주기획,2001
낙옆을 태우면서 (외),이효석,범우사,2001
"공부도 요령이다,시험도 요령이다,제2권",김용락,고글,2001
교실,박정란,문학동네,2001
국어국문학사전 상권. 1,이응백 ; 김원향 ; 김선풍 감수,한국사전연구사,2001
Si-sa Elite Japanese-Korean Dictionary,시사영어사 사전편찬실,시사영어사,2001
보리밭과 수위아저씨,조대현 글 ; 이정희 그림,대교출판,2001
게놈이 세계를 지배한다,나카무라 유우스케 ; 나카무라 마사미 지음 ; 이소라 옮김,아카데미영어사,2002
(생명의 암호를 풀다)유전자,"아셍, 네이선 지음 ; 이한음 옮김",지호,2002
깡딱지,강무홍 글,사계절,2001
조선후기사 연구의 현황과 과제,강만길 엮음,창작과비평사,2001
사람들은 자기 집에 무엇이 있는지도 모른다,이승우,문학과지성사,2001
니콜라이 하르트만의 비판적 존재론,모르겐슈테른 마틴 지음 ; 양우석 옮김,서광사,2001
이산타령 친족타령,이호철,창작과비평사,2001
서울대를 꿈꾸려면 공부방법과 습관을 정복하라,김동환 지음,서교출판사,2001
칸트와헤겔,한단석,사회문화연구소,2001
해석의 갈등,리쾨르 폴 지음 ; 양명수 옮김,아카넷,2001
적들의 사랑이야기,원재길 지음,민음사,2001
압록강,김탁환 지음,열음사,2001
압록강,김탁환 지음,열음사,2001
압록강,김탁환 지음,열음사,2001
압록강,김탁환 지음,열음사,2001
영화감독을 꿈꾸는 젊은이에게,이광훈,집문당,2001
관혼상제 성씨보감,이설산,설산출판사,2001
놀이치료입문,"Kevin J.O'Connor 원저 ; 송영혜,윤지현 옮김",시그마프레스,2001
몽골어-한국어 학습 소사전,강남욱 ; 박상희 엮음,역락,2001
상처가 나를 살린다,이대흠,현대문학북스,2001
디잔인과 성,디자인문화실험실 편,안그라픽스,2002
부자가 되는 건물 따로 있다,배병철 엮음,성보사,2001
운주사 천불 천탑의 비밀,강형구,띠앗,2001
지리산,이성부,창작과비평사,2001
땅 위를 보는 풍수vs. 땅속을 보는 풍수,김경순 지음,대도대한,2001
그대 지금 어디로 가는가,이창구,신아,2001
(알기쉬운주택설비)난방과냉방,최하식,성안당,2001
"닥터 지바고, 상","Pasternak, Boris",열린책들,2001
톨스토이와 도스토예프스키,"슈테판 츠바이크 지음 ; 장영은,원당희 옮김",자연사랑,2001
불멸의 연출가들,토비 콜 편 ; 윤광진 역,예니,2001
정원,박정욱 지음,서해문집,2001
아름다운 바다,앤드루 바이어트 ; 알래스테어 포더길 ; 마서 홈스 공저 ; 김웅서 외 옮김,사이언스북스,2002
마음이 아플때 만나는 미술치료,박승숙,들녘,2001
"구룡배의 전설, 2",악남,일빛,2001
사할린은 눈물도 믿지 않는다 1,신중신 지음,청동거울,2001
세르비아역사,정근재 엮음 ; 두샨 바타코비치 외 지음,선인,2001
SOS 나는 왜 우울하고 화가 나는가,"클라크, 린 지음 ; 박성연 ; 임희수 옮김",교육과학사,2001
스페인 제국사 1469-1716,존 H. 엘리엇 ; 김원중 옮김,까치,2001
"우리 그림이 신나요 1. 1, 실내 활동편",이호신 엮음,현암사,2001
2001 신춘문예 당선소설 작품집,곽상희 외 지음,프레스21,2001
40억 년 간의 시나리오,"Smith,john Maynard",전파과학사,2001
생명 공학 시대의 법과 윤리,박은정 지음,이화여자대학교 출판부,2001
(반쪽이와 함께) 뚝딱뚝딱 DIY,최정현,미래M&B,2001
서양근대철학,백종현 지음,철학과현실사,2001
법의 정신,이재웅 저,다사랑,2001
외국영화 포스터 1 : 1953-1969,정종화 엮음,범우사,2001
NGO와 현대사회,박상필 지음,아르케,2001
한국연극운동사,유민영,태학사,2001
세계와 미국,이삼성 지음,한길사,2001
성공한 사람은 사소한 일에 목숨을 걸지 않는다,리처드 칼슨 ; 박혜진 옮김,창해,2001
별을 보여 드립니다,이청준,열림원,2001
고개 숙인 수정주의,전상인,전통과현대,2001
교육심리학,임규혁,학지사,2001
교육은 사회학적 이해,김천기,학지사,2001
교육학,권성,한국교육문화원,2001
교통사고 처리 이렇게 쉬울수가,장인태,신원문화사,2001
"공부도 요령이다, 시험도 요령이다,제1권",김용락,고글,2001
수호이 Su-32 플랭커시리즈,군사정보 편집부,군사정보,2001
한국의 세시풍속,황헌만 사진 ; 정승모 글,학고재,2001
천개의 고원,"질 들뢰즈,펠릭스 가타리 ; 김재인 옮김",새물결,2001
언어와 언어학의 이해,"이철수,김준기",한국문화사,2001
마음을 다스리며 살아라,이상각 엮음,지혜의나무,2001
임지왜란은 우리가 이긴 전쟁이었다,양재숙,가람기획,2001
떠나는자만이인도를꿈꿀수있다,임헌갑,경당,2001
천년의 삶으로 이어온 종가이야기,이연자 지음,컬쳐라인,2001
관용론,볼테르 지음 ; 송기원 ; 임미경 옮김,한길사,2001
동양철학과 아리스토텔레스,모종삼 지음 ; 정병석 옮김, ,2001
사할린은 눈물도 믿지 않는다 2,신중신 지음,청동거울,2001
"닥터 지바고, 하","Pasternak, Boris",열린책들,2001
해후,채종인,창해,2001
장례의 이론과 실제,남민이 지음,학문사,2001
슬픈 아일랜드. 1,윤정모 지음,창작과비평사,2000
슬픈 아일랜드. 2,윤정모 지음,창작과비평사,2000
몽골민간신화,Dalantain,대원사,2001
복을 부르는 길한 터 재앙을 부르는 흉한터,이익중,우성,2001
대중예술의 미학,박성봉,동연,2001
진정한 부자가 되는 놀라운 법칙,"머피, 조셉 지음 ; 이언 D. 맥마한 개정 ; 이은정 옮김",/ 씨앗을뿌리는사람,2001
우리나라 좋은 나라,윤필 지음,월간 조선사,2001
청각장애 아동 교육,김승국 외 등저,교육과학사,2001
우리 옷 이천 년,문화관광부,문화관광부,2001
대산 주역강의. 2 : 하경,김석진 지음,한길사,2002
대산 주역강의. 1 : 상경,김석진 지음,한길사,2002
독충,이제하 지음,세계사,2001
DNA독트린,Lewontin Richard C,궁리,2001
논어 철학,왕방웅 외 지음 ; 황갑연 옮김,서광사,2001
파이데이아 고대 그리스의 교육사상,오인탁 지음,학지사,2001
맹자가 살아있다면,조성기,동아일보사,2001
지도에 없는 섬 하나를 안다,임영조,민음사,2001
가진것 하나도 없지만,김광규,문학과지성사,2001
정부와 기업 그리고 시민사회,지식정보화사회의 행정과 규제개혁,박영사,2001
쩝쩝이와 냠냠이의 신나는 음식여행,아이엔케이 기획 ; 최정우 지음,농민신문사,2001
"남사당놀이. 3, 중요무형문화재",심우성 글 ; 송봉화 사진,화산문화,2001
명상으로 얻는 깨달음,라마 달라이 지음 ; 지창영 옮김,가림출판사,2001
현대 대표시 연구,신용협 지음,새미,2001
세계화시대의 민주주의,임혁백,나남출판,2001
조선시대 그림 속의 서양화법,이성미 지음,대원사,2001
북한미술 50년,이구열 지음,돌베개,2001
대산 주역강의. 3 : 계사전 외,김석진 지음,한길사,2002
동학과 동학경전의 재인식,동학학회,신서원,2001
다윈의 블랙박스,베히 마이클 지음 ; 김창환 옮김,풀빛,2001
달력과 권력,이정모 지음,부키,2001
"(소설)명성황후,하",정비석,범우사,2001
난,강법선,대원사,2001
때까치,최일남,일신서적,2001
꿈,김성동,창작과 비평사,2001
르네상스를 만든 사람들,김석희 옮김,한길사,2001
미국은 과연 특별한 나라인가?,김봉중 지음,조합공동체소나무,2001
HDTV 이론과 기술,대한전자공학회 편,청문각,2001
이제 미국이 대답할 차례다,정경모 지음,한겨레신문사,2001
발자국들이 남긴 길,고창환 지음,문학과지성사,2000
신의 편작과 의성 화타 열전,유경춘 편역,한중사,2001
마음을 열지않는 자녀에게 가슴으로 가르치는 지혜,존슨 루앤 지음 ; 이순희 옮김,아가돼지,2001
풍경이 있는 우리 술 기행,"허시명 글,그림",웅진닷컴,2001
북한여성들의 삶과 꿈,여성한국사회연구소,사회문화연구소출판부,2001
세계의 종교 : 동굴벽화에서 현대의 다원주까지,니니안 스마트 지음 ; 윤원철 옮김,예경,2004
솔이의 숲,박용기 저 ; 이정규 그림,도깨비,2004
한낮의 우울,앤드류 솔로몬 지음 ; 민승남 옮김,민음사,2004
배따라기,김동인 지음,소담출판사,2004
인생은 아름다워라,맹난자 지음,김영사,2004
"링컨, 당신을 존경합니다",데일 카네기 지음 ; 임정재 옮김,함께읽는책,2004
명랑,천운영 지음,문학과지성사,2004
Little Rabbit and the Sea,"Bishop, Gavin",North-South Books,1997
Rumpelstiltskin,"Galdone, Paul",Clarion books,1985
(The)three Billy Goats Gruff,"Galdone, Paul",Clarion Books,1973
